User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail,Winrate
https://axie.zone//profile?ron_addr=0x62ea77d4a3e22490fc6a24cedd749f1f6b82ea28,Plant,Papi,Lotus,Bidens,Zigzag,Pliers,Yam,0
https://axie.zone//profile?ron_addr=0x62ea77d4a3e22490fc6a24cedd749f1f6b82ea28,Reptile,Confused,Friezard,Bone Sail,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0x62ea77d4a3e22490fc6a24cedd749f1f6b82ea28,Dusk,Telescope,Seaslug,Indian Star,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0xdaf19aef1ae54ed92d54997b6dd951d25ab94c94,Plant,Confused,Clover,Pumpkin,Pincer,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0xdaf19aef1ae54ed92d54997b6dd951d25ab94c94,Dusk,Gecko,Tiny Fan,Garish Worm,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0xdaf19aef1ae54ed92d54997b6dd951d25ab94c94,Dusk,Topaz,Nimo,Garish Worm,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0x1b246e446336f55b4150294ccd39693fb4a8aa9b,Aquatic,Telescope,Inkling,Bone Sail,Cute Bunny,Bumpy,Cattail,0
https://axie.zone//profile?ron_addr=0x1b246e446336f55b4150294ccd39693fb4a8aa9b,Bird,Mavis,Peace Maker,Pigeon Post,Cute Bunny,Eggshell,Post Fight,0
https://axie.zone//profile?ron_addr=0x1b246e446336f55b4150294ccd39693fb4a8aa9b,Plant,Confused,Lotus,Pumpkin,Cute Bunny,Leaf Bug,Hot Butt,0
https://axie.zone//profile?ron_addr=0x31ed9d2cc16b312cc4b3ec9030bff6522fc8da69,Bug,Sleepless,Bubblemaker,Garish Worm,Cute Bunny,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0x31ed9d2cc16b312cc4b3ec9030bff6522fc8da69,Plant,Cucumber Slice,Hollow,Garish Worm,Cute Bunny,Parasite,Cattail,0
https://axie.zone//profile?ron_addr=0x31ed9d2cc16b312cc4b3ec9030bff6522fc8da69,Aquatic,Clear,Bubblemaker,Goldfish,Cute Bunny,Parasite,Nimo,0
https://axie.zone//profile?ron_addr=0x9d7c8b278533f3533518f37d72b2d6fc013a36f9,Dusk,Papi,Rosa,Turnip,Cute Bunny,Antenna,Carrot,0
https://axie.zone//profile?ron_addr=0x9d7c8b278533f3533518f37d72b2d6fc013a36f9,Bug,Sleepless,Larva,Sandal,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x9d7c8b278533f3533518f37d72b2d6fc013a36f9,Aquatic,Clear,Gill,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0x1ecb2d3ad316b04dd491916d1d8f428d008cb768,Bug,Sleepless,Nyan,Spiky Wing,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x1ecb2d3ad316b04dd491916d1d8f428d008cb768,Bug,Bookworm,Nyan,Garish Worm,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x1ecb2d3ad316b04dd491916d1d8f428d008cb768,Plant,Confused,Rosa,Bidens,Zigzag,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0x1c4c23652b5e25d24bbd0195cd8bf43ab3bbec1f,Bug,Confused,Larva,Sandal,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x1c4c23652b5e25d24bbd0195cd8bf43ab3bbec1f,Dusk,Nerdy,Hollow,Turnip,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x1c4c23652b5e25d24bbd0195cd8bf43ab3bbec1f,Dusk,Papi,Ear Breathing,Bone Sail,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0xf52c5f320c7c8f2b62cbee4827aa69a4f921aa4b,Plant,Confused,Clover,Pumpkin,Pincer,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0xf52c5f320c7c8f2b62cbee4827aa69a4f921aa4b,Dusk,Gero,Gill,Garish Worm,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0xf52c5f320c7c8f2b62cbee4827aa69a4f921aa4b,Dusk,Topaz,Sidebarb,Garish Worm,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0xa2aa2a9b2f0409c4578994b052ab944051fab25d,Plant,Papi,Leafy,Pumpkin,Serious,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0xa2aa2a9b2f0409c4578994b052ab944051fab25d,Dusk,Clear,Gill,Ronin,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0xa2aa2a9b2f0409c4578994b052ab944051fab25d,Reptile,Topaz,Friezard,Bone Sail,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0xba29e82955d1df085b826252bd89d8ec28d2c2db,Dusk,Topaz,Inkling,Garish Worm,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0xba29e82955d1df085b826252bd89d8ec28d2c2db,Dusk,Gero,Bubblemaker,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0xba29e82955d1df085b826252bd89d8ec28d2c2db,Dusk,Papi,Leafy,Bone Sail,Cute Bunny,Antenna,Carrot,0
https://axie.zone//profile?ron_addr=0xd2e68436a176485658e8ca7d4a38acc3b159e358,Plant,Papi,Lotus,Garish Worm,Pincer,Pliers,Hot Butt,0
https://axie.zone//profile?ron_addr=0xd2e68436a176485658e8ca7d4a38acc3b159e358,Aquatic,Little Owl,Bubblemaker,Goldfish,Cute Bunny,Arco,Nimo,0
https://axie.zone//profile?ron_addr=0xd2e68436a176485658e8ca7d4a38acc3b159e358,Plant,Bookworm,Clover,Garish Worm,Pincer,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0xb19773a478f1eb20cfa6fda2a0e34798217806a3,Aquatic,Gero,Nimo,Anemone,Cute Bunny,Anemone,Nimo,0
https://axie.zone//profile?ron_addr=0xb19773a478f1eb20cfa6fda2a0e34798217806a3,Bird,Little Owl,Early Bird,Cupid,Cute Bunny,Kestrel,Post Fight,0
https://axie.zone//profile?ron_addr=0xb19773a478f1eb20cfa6fda2a0e34798217806a3,Aquatic,Clear,Inkling,Bone Sail,Cute Bunny,Oranda,Nimo,0
https://axie.zone//profile?ron_addr=0x7e574900d3ea0d8b3573d94e5dc5d05de535512d,Bug,Bookworm,Small Frill,Garish Worm,Cute Bunny,Antenna,Fish Snack,0
